week_ending_date,state,avg_adm_all_covid_confirmed,pct_chg_avg_adm_all_covid_confirmed_per_100k,total_adm_all_covid_confirmed_past_7days,total_adm_all_covid_confirmed_past_7days_per_100k,sum_adm_all_covid_confirmed,avg_total_patients_hospitalized_covid_confirmed,avg_percent_inpatient_beds_occupied_covid_confirmed,abs_chg_avg_percent_inpatient_beds_occupied_covid_confirmed,avg_percent_staff_icu_beds_covid,abs_chg_avg_percent_staff_icu_beds_covid
2020-12-05,Region 6,1879.00,4.40,13153.00,30.79,136109.00,13176.57,13.51,0.79,25.68,2.30
2020-12-12,Region 6,1948.57,3.70,13640.00,31.93,149749.00,13459.43,13.80,0.29,26.22,0.54
2020-12-19,Region 6,2042.00,4.79,14294.00,33.46,164043.00,14163.14,14.41,0.61,26.86,0.65
2020-12-26,Region 6,2231.29,9.27,15619.00,36.56,179662.00,15284.86,15.85,1.44,27.76,0.90
2021-01-02,Region 6,2601.86,16.61,18213.00,42.64,197875.00,17074.14,17.95,2.10,29.45,1.68
2021-01-09,Region 6,2799.14,7.58,19594.00,45.87,217469.00,18961.00,19.73,1.78,31.42,1.97
2021-01-16,Region 6,2627.14,-6.14,18390.00,43.05,235859.00,19223.00,19.92,0.19,32.27,0.85
2021-01-23,Region 6,2326.57,-11.44,16286.00,38.13,252145.00,18263.00,18.89,-1.04,30.55,-1.71
2021-01-30,Region 6,2014.57,-13.41,14102.00,33.01,266247.00,16308.00,16.85,-2.04,28.26,-2.30
2021-02-06,Region 6,1724.43,-14.40,12071.00,28.26,278318.00,13869.71,14.36,-2.49,25.32,-2.94
2021-02-13,Region 6,1362.57,-20.98,9538.00,22.33,287856.00,11572.14,12.01,-2.35,22.65,-2.67
2021-02-20,Region 6,990.29,-27.32,6932.00,16.23,294788.00,9320.86,10.33,-1.68,19.38,-3.26
2021-02-27,Region 6,970.29,-2.02,6792.00,15.90,301580.00,8243.71,8.58,-1.75,16.45,-2.93
2021-03-06,Region 6,782.57,-19.35,5478.00,12.82,307058.00,6708.43,6.98,-1.60,13.95,-2.50
2021-03-13,Region 6,676.00,-13.62,4732.00,11.08,311790.00,5538.43,5.80,-1.17,11.73,-2.22
2021-03-20,Region 6,577.71,-14.54,4044.00,9.47,315834.00,4757.57,5.01,-0.79,10.21,-1.52
2021-03-27,Region 6,522.00,-9.64,3654.00,8.55,319488.00,4202.71,4.41,-0.60,8.78,-1.43
2021-04-03,Region 6,490.14,-6.10,3431.00,8.03,322919.00,3687.43,3.89,-0.52,7.95,-0.83
2021-04-10,Region 6,496.14,1.22,3473.00,8.13,326392.00,3476.57,3.67,-0.21,7.81,-0.14
2021-04-17,Region 6,541.14,9.07,3788.00,8.87,330180.00,3609.71,3.81,0.13,7.58,-0.23
2021-04-24,Region 6,495.29,-8.47,3467.00,8.12,333647.00,3573.57,3.79,-0.02,7.61,0.03
2021-05-01,Region 6,487.00,-1.67,3409.00,7.98,337056.00,3418.43,3.63,-0.16,7.67,0.05
2021-05-08,Region 6,456.86,-6.19,3198.00,7.49,340254.00,3297.57,3.50,-0.14,7.53,-0.14
