From,To,Weight
sf155,sf259,2
sf155,sf155,4
sf155,sf270,1
sf155,sf166,1
sf155,sf157,1
sf155,sf257,1
sf321,sf64,5
sf321,sf39,1
sf321,sf5,1
sf321,sf61,1
sf321,sf139,1
sf321,sf58,3
sf321,sf62,1
sf321,sf321,2
sf321,sf24,3
sf321,sf11,2
sf321,sf15,1
sf321,sf47,4
sf321,sf6,1
sf321,sf89,1
sf321,sf79,1
sf321,sf37,2
sf132,sf130,3
sf132,sf5,3
sf132,sf137,2
sf132,sf96,1
sf132,sf144,2
sf132,sf121,1
sf132,sf145,2
sf132,sf133,1
sf132,sf10,1
sf132,sf123,1
sf132,sf59,1
sf122,sf109,1
sf122,sf127,3
sf122,sf115,1
sf122,sf74,1
sf122,sf61,1
sf122,sf126,1
sf122,sf121,1
sf122,sf49,1
sf122,sf21,1
sf122,sf98,1
sf122,sf124,1
sf122,sf141,1
sf122,sf6,1
sf122,sf356,1
sf122,sf123,1
sf122,sf223,1
sf350,sf127,1
sf350,sf120,1
sf350,sf36,2
sf350,sf22,1
sf350,sf114,1
sf350,sf3,1
sf350,sf6,1
sf350,sf100,1
sf350,sf78,1
sf350,sf85,1
sf350,sf87,1
sf60,sf50,1
sf60,sf5,1
sf60,sf350,1
sf60,sf122,1
sf60,sf61,2
sf60,sf43,1
sf60,sf36,1
sf60,sf58,2
sf60,sf67,1
sf60,sf3,1
sf60,sf16,3
sf60,sf30,1
sf60,sf89,1
sf60,sf125,1
sf60,sf112,1
sf60,sf77,1
sf7,sf7,3
sf7,sf186,2
sf7,sf232,1
sf7,sf197,3
sf7,sf160,1
sf7,sf194,1
sf296,sf317,3
sf296,sf310,2
sf296,sf208,1
sf296,sf311,1
sf296,sf295,1
sf30,sf64,1
sf30,sf50,1
sf30,sf90,2
sf30,sf122,1
sf30,sf321,2
sf30,sf24,1
sf30,sf66,4
sf30,sf27,1
sf30,sf30,2
sf30,sf14,1
sf30,sf9,1
sf30,sf323,1
sf237,sf227,1
sf237,sf229,1
sf237,sf225,1
sf171,sf267,5
sf171,sf166,1
sf171,sf170,1
sf171,sf210,1
sf171,sf18,1
sf171,sf273,1
sf171,sf205,2
sf171,sf189,1
sf171,sf158,1
sf171,sf249,1
sf67,sf109,2
sf67,sf50,2
sf67,sf90,1
sf67,sf120,2
sf67,sf28,2
sf67,sf92,1
sf67,sf5,1
sf67,sf324,1
sf67,sf122,1
sf67,sf41,1
sf67,sf36,1
sf67,sf321,1
sf67,sf24,2
sf67,sf15,3
sf67,sf349,2
sf67,sf9,1
sf67,sf125,1
sf67,sf78,1
sf67,sf4,1
sf67,sf285,1
sf85,sf120,2
sf85,sf74,1
sf85,sf134,1
sf85,sf58,1
sf85,sf95,1
sf85,sf323,4
sf85,sf118,2
sf85,sf72,1
sf28,sf50,1
sf28,sf28,6
sf28,sf81,1
sf28,sf139,1
sf28,sf17,1
sf28,sf15,6
sf28,sf93,3
sf28,sf67,1
sf28,sf349,1
sf28,sf27,1
sf28,sf6,3
sf28,sf9,3
sf28,sf89,1
sf28,sf323,2
sf28,sf75,2
sf28,sf4,1
sf28,sf60,1
sf245,sf259,2
sf245,sf253,3
sf245,sf240,1
sf245,sf239,2
sf245,sf258,2
sf245,sf266,3
sf245,sf269,2
sf245,sf247,2
sf245,sf263,1
sf245,sf238,1
sf245,sf273,1
sf245,sf245,3
sf245,sf257,3
sf245,sf256,1
sf200,sf163,2
sf200,sf200,4
sf200,sf196,2
sf200,sf186,2
sf200,sf213,1
sf200,sf203,6
sf200,sf197,4
sf200,sf233,1
sf200,sf193,1
sf200,sf219,1
sf315,sf315,1
sf315,sf195,2
sf315,sf18,2
sf315,sf211,1
sf269,sf259,2
sf269,sf240,1
sf269,sf241,1
sf269,sf248,1
sf269,sf245,2
sf269,sf246,1
sf256,sf240,2
sf256,sf239,5
sf256,sf258,3
sf256,sf266,1
sf256,sf244,2
sf256,sf247,1
sf256,sf251,1
sf256,sf238,1
sf256,sf245,1
sf256,sf243,1
sf256,sf175,2
sf256,sf257,2
sf256,sf256,1
sf256,sf191,2
sf166,sf259,1
sf166,sf267,1
sf166,sf269,1
sf166,sf205,1
sf166,sf248,4
sf166,sf272,3
sf166,sf175,1
sf166,sf212,1
sf166,sf167,2
sf208,sf278,1
sf208,sf296,3
sf208,sf276,1
sf208,sf310,1
sf208,sf208,2
sf208,sf309,2
sf208,sf308,4
sf208,sf297,1
sf96,sf120,1
sf96,sf39,1
sf96,sf139,1
sf96,sf126,1
sf96,sf71,1
sf96,sf118,1
sf96,sf223,2
sf96,sf110,1
sf96,sf108,1
sf5,sf120,2
sf5,sf5,4
sf5,sf122,2
sf5,sf43,1
sf5,sf44,1
sf5,sf126,1
sf5,sf41,2
sf5,sf121,1
sf5,sf58,3
sf5,sf321,2
sf5,sf49,2
sf5,sf116,1
sf5,sf21,1
sf5,sf15,3
sf5,sf284,1
sf5,sf76,2
sf5,sf3,1
sf5,sf70,2
sf5,sf16,1
sf5,sf19,2
sf5,sf6,2
sf5,sf356,2
sf5,sf73,1
sf5,sf75,4
sf5,sf42,1
sf5,sf13,4
sf5,sf60,3
sf5,sf138,1
sfNULL,sfNULL,99
sf86,sf120,1
sf86,sf5,1
sf86,sf74,1
sf86,sf61,1
sf86,sf44,1
sf86,sf107,3
sf86,sf121,1
sf86,sf58,1
sf86,sf133,1
sf86,sf349,1
sf86,sf70,2
sf86,sf16,1
sf86,sf6,2
sf86,sf14,1
sf86,sf84,1
sf86,sf105,1
sf86,sf73,1
sf86,sf85,1
sf86,sf97,2
sf86,sf52,2
sf86,sf4,1
sf86,sf118,1
sf86,sf56,1
sf86,sf110,1
sf86,sf106,1
sf14,sf81,1
sf14,sf5,1
sf14,sf350,1
sf14,sf324,1
sf14,sf74,3
sf14,sf11,1
sf14,sf15,1
sf14,sf8,2
sf14,sf349,1
sf14,sf6,1
sf14,sf10,2
sf14,sf356,1
sf11,sf5,3
sf11,sf324,3
sf11,sf44,2
sf11,sf17,5
sf11,sf80,2
sf11,sf11,2
sf11,sf15,2
sf11,sf66,1
sf11,sf8,5
sf11,sf6,7
sf11,sf14,1
sf11,sf9,1
sf182,sf195,4
sf182,sf180,2
sf182,sf196,2
sf182,sf213,1
sf182,sf183,1
sf182,sf179,2
sf182,sf198,2
sf182,sf178,1
sf182,sf211,1
sf182,sf207,2
sf74,sf109,2
sf74,sf120,1
sf74,sf5,2
sf74,sf122,1
sf74,sf74,2
